gene_id,m_measure
CG11927,0.015368703555965356
Dnz1,0.015601321564631248
CycG,0.016029490245179922
Tom40,0.016870123779578458
PP1R15,0.017257430374835694
CG8635,0.017686449525455703
Coro,0.018453298322454192
Rpl32,0.02159170765542847
GAPDH2,0.023830575637904115
CG9953,0.025413593067642782
Act5C,0.027551585287451122
Atat,0.03014111201876292
    
