gene_id,normfinder_stability_value
Dnz1,0.050833601693847444
CycG,0.06057563033120742
CG11927,0.08922093489731811
PP1R15,0.09926693331835777
CG8635,0.10023290400763335
Tom40,0.10085111954263253
Coro,0.10522138173088605
Rpl32,0.1361940553224903
GAPDH2,0.17619320819039525
Act5C,0.1893527791244874
CG9953,0.1989563469335599
Atat,0.22339535911313366
